,train,val,test
0,482610,482804,482683
1,482611,482805,482685
2,a482608,482806,482686
3,482609,482815,483405
4,482807,482816,482772
5,482808,482818,482773
6,482809,483123,482774
7,482810,482822,482846
8,482604,482823,482847
9,482605,482824,482848
10,482607,482825,482849
11,483820,482826,482674
12,482672,482827,482675
13,482673,482811,482676
14,483399,482812,482677
15,482842,482813,482678
16,482843,482814,483406
17,482844,482819,482663
18,482845,482820,482664
19,482861,482821,482665
20,482862,482635,482666
21,482828,482636,483800
22,482829,482637,482638
23,482830,482854,482639
24,482831,482855,482641
25,482832,483114,483810
26,482833,483115,482767
27,482834,482837,482768
28,482835,482838,482769
29,483113,482840,482770
30,482620,482841,482771
31,482621,483122,482857
32,482622,482617,482858
33,482623,482618,482859
34,482624,483831,482860
35,482625,483836,482680
36,482626,487815,482681
37,482627,487818,482682
38,482628,487820,482612
39,482630,487822,482613
40,482631,483726,482614
41,482632,483727,482615
42,482633,483728,482687
43,482634,483729,482688
44,483813,483731,482689
45,482642,484203,482690
46,482643,483710,482691
47,482644,483711,482693
48,482645,483713,482694
49,482646,483714,483397
50,482647,483715,483720
51,482648,483716,483721
52,482649,483717,483722
53,482659,483718,483723
54,482660,483719,483724
55,487809,484199,483725
56,487810,482745,482723
57,487813,482746,482724
58,487814,482747,482725
59,483667,482748,482726
60,483668,483382,482727
61,483669,487919,482728
62,483670,487920,482729
63,483672,487921,482730
64,483673,487922,482737
65,483674,487923,482738
66,483675,487848,487928
67,483676,487849,482739
68,483677,487853,482740
69,483678,487854,482743
70,483679,487855,482744
71,484195,483708,483385
72,484197,482750,483391
73,482756,482751,491938
74,482757,487831,482704
75,482758,487833,482705
76,482759,487834,482706
77,482760,487835,482707
78,482761,487836,482708
79,482762,487837,482709
80,482763,487838,482710
81,482764,483777,487856
82,482765,483778,487857
83,482766,482731,487858
84,482592,482732,487859
85,482593,482733,487910
86,482594,482734,487911
87,487924,482735,487912
88,487925,482736,487913
89,487926,483682,487915
90,487850,483683,487916
91,487851,483684,487917
92,487852,483685,487918
93,482695,483686,482850
94,482696,483687,482851
95,482697,482711,482852
96,482698,482712,482601
97,482699,482713,482602
98,482700,482714,482603
99,482701,482715,491941
100,482702,482716,480267
101,482703,482717,480274
102,483680,482718,480326
103,483681,482719,480327
104,483688,482720,480328
105,483689,482721,491943
106,483690,483394,492246
107,483691,487842,480368
108,483692,487843,480369
109,483693,487844,480370
110,483694,487845,480374
111,483695,482783,480379
112,482791,482784,480386
113,482792,482785,480398
114,482793,482786,481479
115,482794,482787,480400
116,482795,482788,480401
117,482796,482789,480402
118,482797,482790,480403
119,482798,482597,480404
120,480232,482598,480405
121,480237,482599,480406
122,480258,482600,480407
123,480263,482775,480408
124,481140,482776,480356
125,481469,482777,480357
126,481470,482778,480358
127,482948,482779,480359
128,482949,482780,480360
129,482950,482781,480361
130,491823,483779,480363
131,491826,483780,480364
132,491828,483781,480365
133,491831,483923,480367
134,480164,492233,481143
135,480169,482951,481472
136,480173,482952,480409
137,480177,482953,480410
138,480180,482954,480412
139,480332,482955,480413
140,480333,482957,480415
141,480334,482958,481149
142,480335,483111,481150
143,480336,491810,482863
144,480337,491814,482864
145,480338,491816,482865
146,480312,491818,483358
147,480316,480189,491881
148,480320,480194,491882
149,480323,480198,491883
150,480324,480208,483784
151,480325,480212,483785
152,491912,480217,483786
153,491913,481129,483787
154,491914,481132,483788
155,491915,491884,483927
156,491916,482971,482874
157,491917,482972,482875
158,491918,482973,482876
159,491919,482974,482877
160,492261,482975,482878
161,491924,482976,482868
162,491925,491894,482869
163,491926,491895,482870
164,491928,491896,482871
165,492264,491897,482872
166,491939,491898,482873
167,480329,491940,483359
168,480330,482879,483748
169,480331,482880,483749
170,482943,482881,483750
171,482944,483769,483751
172,482945,483771,483752
173,482946,483772,483753
174,482947,483773,483754
175,480279,483774,483755
176,480284,483775,483756
177,480288,483776,492258
178,480294,483920,480120
179,480298,491792,480124
180,480303,483758,480130
181,480307,491849,480135
182,482966,491859,481118
183,482967,491863,481121
184,491891,491867,481128
185,491892,491871,481465
186,491893,491877,491902
187,480151,482925,491903
188,480156,482926,491904
189,480159,482927,491905
190,480221,482928,491906
191,480226,482929,491908
192,482959,480459,491909
193,482960,480460,491910
194,482961,480429,492256
195,482962,480430,480416
196,482963,480431,480419
197,482964,480432,481507
198,a482938,480433,481513
199,482940,480434,480466
200,482941,480439,480467
201,482942,480423,480468
202,483110,480424,480469
203,482899,491935,480470
204,482900,483833,480471
205,483373,483835,480472
206,482930,483838,480457
207,482931,483842,480458
208,482932,483844,480450
209,482933,483847,480451
210,482934,483789,480452
211,482935,483790,480453
212,482936,483791,480454
213,482937,483792,480455
214,480465,483793,480456
215,482920,483794,482910
216,482921,483796,482911
217,482922,483929,482913
218,482924,484302,482914
219,480462,484293,482915
220,480463,,482916
221,480464,,483379
222,481516,,483849
223,480443,,483850
224,480444,,483857
225,480445,,483874
226,480446,,483876
227,480447,,483877
228,480448,,483819
229,480449,,483823
230,480425,,483825
231,480426,,483828
232,480427,,483830
233,480428,,483812
234,482909,,483814
235,482917,,483817
236,483805,,483889
237,483808,,483878
238,483809,,483881
239,483811,,483882
240,483798,,483883
241,483801,,483884
242,483802,,483933
243,491933,,491931
244,491934,,491932
245,491803,,491929
246,491806,,491930
