,train,val,test
0,482672,482638,482683
1,482673,482639,482685
2,483399,482641,482686
3,482659,483810,483405
4,482660,482617,482680
5,482663,482618,482681
6,482664,483831,482682
7,482665,483836,482674
8,482666,a482608,482675
9,483800,482609,482676
10,482624,482610,482677
11,482625,482611,482678
12,482626,482767,483406
13,482627,482768,482642
14,482628,482769,482643
15,482630,482770,482644
16,482631,482771,482645
17,482632,482861,482646
18,482633,482862,482647
19,482634,482854,482648
20,483813,482855,482649
21,482635,483114,482620
22,482636,483115,482621
23,482637,482837,482622
24,482612,482838,482623
25,482613,482840,482857
26,482614,482841,482858
27,482615,483122,482859
28,482604,482807,482860
29,482605,482808,482846
30,482607,482809,482847
31,483820,482810,482848
32,482772,482791,482849
33,482773,482792,482833
34,482774,482793,482834
35,482842,482794,482835
36,482843,482795,483113
37,482844,482796,482815
38,482845,482797,482816
39,482828,482798,482818
40,482829,482783,483123
41,482830,482784,482819
42,482831,482785,482820
43,482832,482786,482821
44,482811,482787,482799
45,482812,482788,482800
46,482813,482789,482801
47,482814,482790,482802
48,482804,482850,482803
49,482805,482851,482775
50,482806,482852,482776
51,482822,482597,482777
52,482823,482598,482778
53,482824,482599,482779
54,482825,482600,482780
55,482826,482752,482781
56,482827,482753,482601
57,482592,482754,482602
58,482593,482755,482603
59,482594,482723,482750
60,482756,482724,482751
61,482757,482725,482739
62,482758,482726,482740
63,482759,482727,482743
64,482760,482728,482744
65,482761,482729,483385
66,482762,482730,483391
67,482763,482737,482731
68,482764,482738,482732
69,482765,482704,482733
70,482766,482705,482734
71,482745,482706,482735
72,482746,482707,482736
73,482747,482708,482687
74,482748,482709,482688
75,483382,482710,482689
76,482711,482695,482690
77,482712,482696,482691
78,482713,482697,482693
79,482714,482698,482694
80,482715,482699,483397
81,482716,482700,483682
82,482717,482701,483683
83,482718,482702,483684
84,482719,482703,487856
85,482720,483696,487857
86,482721,483697,487858
87,483394,483698,487859
88,483680,483699,487919
89,483681,483700,487920
90,487848,483688,487921
91,487849,483689,487922
92,487850,483690,487923
93,487851,483691,487815
94,487852,483692,487818
95,487853,483693,487820
96,487854,483694,487822
97,487855,483695,483710
98,483708,483685,483711
99,487842,483686,483713
100,487843,483687,483714
101,487844,487928,483715
102,487845,487924,483716
103,487831,487925,483717
104,487833,487926,483718
105,487834,483726,483719
106,487835,483727,484199
107,487836,483728,483723
108,487837,483729,483724
109,487838,483731,483667
110,491938,484203,483668
111,487910,483720,483669
112,487911,483721,483670
113,487912,483722,483672
114,487913,483725,483673
115,487915,483777,483674
116,487916,483778,483675
117,487917,480312,483676
118,487918,480316,483677
119,487809,480320,483678
120,487810,480323,483679
121,487813,480324,484195
122,487814,480325,484197
123,483660,492258,480267
124,483661,480120,480274
125,483662,480124,480326
126,483663,480130,480327
127,483666,480135,480328
128,484189,481118,480221
129,491941,481121,480226
130,491792,481128,482959
131,480279,481465,482960
132,480284,483748,482961
133,480288,483749,482962
134,480294,483750,482963
135,480298,483751,482964
136,480303,483752,480164
137,480307,483753,480169
138,482966,483754,480173
139,482967,483755,480177
140,480232,483756,480180
141,480237,482947,480189
142,480258,491849,480194
143,480263,491859,480198
144,481140,491863,480208
145,481469,491867,480212
146,481470,491871,480217
147,480151,491877,481129
148,480156,491823,481132
149,480159,491826,483779
150,483758,491828,483780
151,483760,491831,483781
152,483761,482874,483923
153,483762,482875,483769
154,483763,482876,483771
155,483764,482877,483772
156,483765,482878,483773
157,483766,491943,483774
158,483767,492246,483775
159,483768,482971,483776
160,492233,482972,483920
161,482951,482973,483784
162,482952,482974,483785
163,482953,482975,483786
164,482954,482976,483787
165,482955,491902,483788
166,482957,491903,483927
167,482958,491904,491881
168,483111,491905,491882
169,482868,491906,491883
170,482869,491908,491810
171,482870,491909,491814
172,482871,491910,491816
173,482872,492256,491818
174,482873,482928,491940
175,483359,482929,482879
176,491939,482930,482880
177,480329,482931,482881
178,480330,482932,482863
179,480331,482933,482864
180,482943,482934,482865
181,482944,482935,483358
182,482945,482936,480332
183,482946,482937,480333
184,480400,480416,480334
185,480401,480419,480335
186,480402,481507,480336
187,480403,481513,480337
188,480404,480450,480338
189,480405,480451,482948
190,480406,480452,482949
191,480407,480453,482950
192,480408,480454,480356
193,491912,480455,480357
194,491913,480456,480358
195,491914,480443,480359
196,491915,480444,480360
197,491916,480445,480361
198,491917,480446,480363
199,491918,480447,480364
200,491919,480448,480365
201,492261,480449,480367
202,491924,480429,481143
203,491925,480430,481472
204,491926,480431,480368
205,491928,480432,480369
206,492264,480433,480370
207,491894,480434,480374
208,491895,480439,480379
209,491896,482917,480386
210,491897,483849,480398
211,491898,483850,481479
212,491884,483857,480409
213,491891,483874,480410
214,491892,483876,480412
215,491893,483877,480413
216,a482938,483805,480415
217,482940,483808,481149
218,482941,483809,481150
219,482942,483811,480465
220,483110,483878,482920
221,482899,483881,482921
222,482900,483882,482922
223,483373,483883,482924
224,482925,483884,480459
225,482926,483933,480460
226,482927,483798,480462
227,480466,483801,480463
228,480467,483802,480464
229,480468,491933,481516
230,480469,491934,480457
231,480470,484302,480458
232,480471,484293,480423
233,480472,491803,480424
234,482910,491806,480425
235,483833,,480426
236,483835,,480427
237,483838,,480428
238,483842,,482909
239,483844,,482911
240,483847,,482913
241,483819,,482914
242,483823,,482915
243,483825,,482916
244,483828,,483379
245,483830,,491935
246,483812,,483789
247,483814,,483790
248,483817,,483791
249,483889,,483792
250,491931,,483793
251,491932,,483794
252,,,483796
253,,,483929
254,,,491929
255,,,491930
