,train,val,test
482680,True,False,False
482681,True,False,False
482682,True,False,False
482672,True,False,False
482673,True,False,False
483399,True,False,False
482663,True,False,False
482664,True,False,False
482665,True,False,False
482666,True,False,False
483800,True,False,False
482638,True,False,False
482639,True,False,False
482641,True,False,False
483810,True,False,False
482624,True,False,False
482625,True,False,False
482626,True,False,False
482627,True,False,False
482628,True,False,False
682630,True,False,False
682631,True,False,False
682832,True,False,False
682633,True,False,False
682634,True,False,False
483813,True,False,False
482635,True,False,False
482636,True,False,False
482637,True,False,False
482620,True,False,False
482621,True,False,False
482622,True,False,False
482623,True,False,False
482767,True,False,False
482768,True,False,False
482769,True,False,False
482770,True,False,False
482771,True,False,False
482861,True,False,False
482862,True,False,False
482837,True,False,False
482838,True,False,False
482840,True,False,False
482841,True,False,False
483122,True,False,False
482804,True,False,False
482805,True,False,False
482806,True,False,False
482807,True,False,False
482808,True,False,False
482809,True,False,False
482810,True,False,False
482799,True,False,False
482800,True,False,False
482801,True,False,False
482802,True,False,False
482803,True,False,False
482791,True,False,False
482792,True,False,False
482793,True,False,False
482794,True,False,False
482795,True,False,False
482796,True,False,False
482797,True,False,False
482798,True,False,False
482597,True,False,False
482598,True,False,False
482599,True,False,False
482600,True,False,False
482750,True,False,False
482751,True,False,False
482752,True,False,False
482753,True,False,False
482754,True,False,False
482755,True,False,False
482687,True,False,False
482688,True,False,False
482689,True,False,False
482690,True,False,False
482691,True,False,False
482693,True,False,False
482694,True,False,False
483397,True,False,False
483696,True,False,False
483697,True,False,False
483698,True,False,False
483699,True,False,False
483700,True,False,False
483688,True,False,False
483689,True,False,False
483690,True,False,False
483691,True,False,False
483692,True,False,False
483693,True,False,False
483694,True,False,False
483695,True,False,False
483682,True,False,False
483683,True,False,False
483684,True,False,False
487850,True,False,False
487851,True,False,False
487852,True,False,False
487842,True,False,False
487843,True,False,False
487844,True,False,False
487845,True,False,False
487967,True,False,False
487968,True,False,False
487969,True,False,False
487919,True,False,False
487920,True,False,False
487921,True,False,False
487922,True,False,False
487923,True,False,False
487934,True,False,False
487935,True,False,False
487936,True,False,False
487924,True,False,False
487925,True,False,False
487926,True,False,False
488006,True,False,False
487815,True,False,False
487818 ,True,False,False
487820,True,False,False
487822,True,False,False
483710,True,False,False
483711,True,False,False
483713,True,False,False
483714,True,False,False
483715,True,False,False
483716,True,False,False
483717,True,False,False
483718,True,False,False
483719,True,False,False
484199,True,False,False
483726,True,False,False
483727,True,False,False
483728,True,False,False
483729,True,False,False
483731,True,False,False
484203,True,False,False
483667,True,False,False
483668,True,False,False
483669,True,False,False
483670,True,False,False
483672,True,False,False
483673,True,False,False
483674,True,False,False
483675,True,False,False
483676,True,False,False
483677,True,False,False
483678,True,False,False
483679,True,False,False
484195,True,False,False
484197,True,False,False
483777,True,False,False
483778,True,False,False
483361,True,False,False
483364,True,False,False
482901,True,False,False
482902,True,False,False
482903,True,False,False
491792,True,False,False
480312,True,False,False
480316,True,False,False
480320,True,False,False
480323,True,False,False
480324,True,False,False
480325,True,False,False
480232,True,False,False
480237,True,False,False
480258,True,False,False
480263,True,False,False
481140,True,False,False
481469,True,False,False
481470,True,False,False
483779,True,False,False
483780,True,False,False
483781,True,False,False
483923,True,False,False
483758,True,False,False
483760,True,False,False
483761,True,False,False
483762,True,False,False
483763,True,False,False
483764,True,False,False
483765,True,False,False
483766,True,False,False
483767,True,False,False
483768,True,False,False
492233,True,False,False
482951,True,False,False
482952,True,False,False
482953,True,False,False
482954,True,False,False
482955,True,False,False
482957,True,False,False
482958,True,False,False
483111,True,False,False
491881,True,False,False
491882,True,False,False
491883,True,False,False
491940,True,False,False
482879,True,False,False
482880,True,False,False
482881,True,False,False
482971,True,False,False
482972,True,False,False
482973,True,False,False
482974,True,False,False
482975,True,False,False
482976,True,False,False
480400,True,False,False
480401,True,False,False
480402,True,False,False
480403,True,False,False
480404,True,False,False
480405,True,False,False
480406,True,False,False
480407,True,False,False
480408,True,False,False
491912,True,False,False
491913,True,False,False
491914,True,False,False
491915,True,False,False
491916,True,False,False
491917,True,False,False
491918,True,False,False
491919,True,False,False
492261,True,False,False
491894,True,False,False
491895,True,False,False
491896,True,False,False
491897,True,False,False
491898,True,False,False
482928,True,False,False
482929,True,False,False
480416,True,False,False
480419,True,False,False
481507,True,False,False
481513,True,False,False
480466,True,False,False
480467,True,False,False
480468,True,False,False
480469,True,False,False
480470,True,False,False
