,train,val,test
0,483696,483688,483680
1,483697,483689,483681
2,483698,483690,483680aug1
3,483699,483691,483681aug1
4,483700,483692,483723
5,483696aug1,483693,483724
6,483697aug1,483694,483723aug1
7,483698aug1,483695,483724aug1
8,483699aug1,483688aug1,483720
9,483700aug1,483689aug1,483721
10,483708,483690aug1,483722
11,483708aug1,483691aug1,483725
12,483710,483692aug1,483720aug1
13,483711,483693aug1,483721aug1
14,483713,483694aug1,483722aug1
15,483714,483695aug1,483725aug1
16,483715,483682,483361
17,483716,483683,483364
18,483717,483684,483361aug1
19,483718,483682aug1,483364aug1
20,483719,483683aug1,482901
21,484199,483684aug1,482902
22,483710aug1,483685,482903
23,483711aug1,483686,482901aug1
24,483713aug1,483687,482902aug1
25,483714aug1,483685aug1,482903aug1
26,483715aug1,483686aug1,480221
27,483716aug1,483687aug1,480226
28,483717aug1,483726,482959
29,483718aug1,483727,482960
30,483719aug1,483728,482961
31,484199aug1,483729,482962
32,483667,483731,482963
33,483668,484203,482964
34,483669,483726aug1,483112
35,483670,483727aug1,480221aug1
36,483672,483728aug1,480226aug1
37,483673,483729aug1,482959aug1
38,483674,483731aug1,482960aug1
39,483675,484203aug1,482961aug1
40,483676,483660,482962aug1
41,483677,483661,482963aug1
42,483678,483662,482964aug1
43,483679,483663,483112aug1
44,484195,483666,480151
45,484197,484189,480156
46,483667aug1,483660aug1,480159
47,483668aug1,483661aug1,480151aug1
48,483669aug1,483662aug1,480156aug1
49,483670aug1,483663aug1,480159aug1
50,483672aug1,483666aug1,483784
51,483673aug1,484189aug1,483785
52,483674aug1,482683,483786
53,483675aug1,482685,483787
54,483676aug1,482686,483788
55,483677aug1,483405,483927
56,483678aug1,482683aug1,483784aug1
57,483679aug1,482685aug1,483785aug1
58,484195aug1,482686aug1,483786aug1
59,484197aug1,483405aug1,483787aug1
60,483777,482888,483788aug1
61,483778,482888aug1,483927aug1
62,483777aug1,480312,482672
63,483778aug1,480316,482673
64,482680,480320,483399
65,482681,480323,482672aug1
66,482682,480324,482673aug1
67,482680aug1,480325,483399aug1
68,482681aug1,480312aug1,482868
69,482682aug1,480316aug1,482869
70,480279,480320aug1,482870
71,480284,480323aug1,482871
72,480288,480324aug1,482872
73,480294,480325aug1,482873
74,480298,480267,483359
75,480303,480274,482868aug1
76,480307,480326,482869aug1
77,482966,480327,482870aug1
78,482967,480328,482871aug1
79,480279aug1,480267aug1,482872aug1
80,480284aug1,480274aug1,482873aug1
81,480288aug1,480326aug1,483359aug1
82,480294aug1,480327aug1,482863
83,480298aug1,480328aug1,482864
84,480303aug1,480232,482865
85,480307aug1,480237,483358
86,482966aug1,480258,482863aug1
87,482967aug1,480263,482864aug1
88,480120,481140,482865aug1
89,480124,481469,483358aug1
90,480130,481470,482642
91,480135,480232aug1,482643
92,481118,480237aug1,482644
93,481121,480258aug1,482645
94,481128,480263aug1,482646
95,481465,481140aug1,482647
96,480120aug1,481469aug1,482648
97,480124aug1,481470aug1,482649
98,480130aug1,480164,482642aug1
99,480135aug1,480169,482643aug1
100,481118aug1,480173,482644aug1
101,481121aug1,480177,482645aug1
102,481128aug1,480180,482646aug1
103,481465aug1,480164aug1,482647aug1
104,482674,480169aug1,482648aug1
105,482675,480173aug1,482649aug1
106,482676,480177aug1,480332
107,482677,480180aug1,480333
108,482678,480189,480334
109,483406,480194,480335
110,482674aug1,480198,480336
111,482675aug1,480208,480337
112,482676aug1,480212,480338
113,482677aug1,480217,480332aug1
114,482678aug1,481129,480333aug1
115,483406aug1,481132,480334aug1
116,483748,480189aug1,480335aug1
117,483749,480194aug1,480336aug1
118,483750,480198aug1,480337aug1
119,483751,480208aug1,480338aug1
120,483752,480212aug1,480356
121,483753,480217aug1,480357
122,483754,481129aug1,480358
123,483755,481132aug1,480359
124,483756,483779,480360
125,483748aug1,483780,480361
126,483749aug1,483781,480363
127,483750aug1,483923,480364
128,483751aug1,483779aug1,480365
129,483752aug1,483780aug1,480367
130,483753aug1,483781aug1,481143
131,483754aug1,483923aug1,481472
132,483755aug1,483769,480356aug1
133,483756aug1,483771,480357aug1
134,482947,483772,480358aug1
135,482947aug1,483773,480359aug1
136,482663,483774,480360aug1
137,482664,483775,480361aug1
138,482665,483776,480363aug1
139,482666,483920,480364aug1
140,483800,483769aug1,480365aug1
141,482663aug1,483771aug1,480367aug1
142,482664aug1,483772aug1,481143aug1
143,482665aug1,483773aug1,481472aug1
144,482666aug1,483774aug1,480368
145,483800aug1,483775aug1,480369
146,482874,483776aug1,480370
147,482875,483920aug1,480374
148,482876,483757,480379
149,482877,483757aug1,480386
150,482878,483758,480398
151,482874aug1,483760,481479
152,482875aug1,483761,480368aug1
153,482876aug1,483762,480369aug1
154,482877aug1,483763,480370aug1
155,482878aug1,483764,480374aug1
156,482971,483765,480379aug1
157,482972,483766,480386aug1
158,482973,483767,480398aug1
159,482974,483768,481479aug1
160,482975,483758aug1,480400
161,482976,483760aug1,480401
162,482971aug1,483761aug1,480402
163,482972aug1,483762aug1,480403
164,482973aug1,483763aug1,480404
165,482974aug1,483764aug1,480405
166,482975aug1,483765aug1,480406
