,train,val,test
483688,True,False,False
483689,True,False,False
483690,True,False,False
483691,True,False,False
483692,True,False,False
483693,True,False,False
483694,True,False,False
483695,True,False,False
483688aug1,True,False,False
483689aug1,True,False,False
483690aug1,True,False,False
483691aug1,True,False,False
483692aug1,True,False,False
483693aug1,True,False,False
483694aug1,True,False,False
483695aug1,True,False,False
483682,True,False,False
483683,True,False,False
483684,True,False,False
483682aug1,True,False,False
483683aug1,True,False,False
483684aug1,True,False,False
483685,True,False,False
483686,True,False,False
483687,True,False,False
483685aug1,True,False,False
483686aug1,True,False,False
483687aug1,True,False,False
483726,True,False,False
483727,True,False,False
483728,True,False,False
483729,True,False,False
483731,True,False,False
484203,True,False,False
483726aug1,True,False,False
483727aug1,True,False,False
483728aug1,True,False,False
483729aug1,True,False,False
483731aug1,True,False,False
484203aug1,True,False,False
483660,True,False,False
483661,True,False,False
483662,True,False,False
483663,True,False,False
483666,True,False,False
484189,True,False,False
483660aug1,True,False,False
483661aug1,True,False,False
483662aug1,True,False,False
483663aug1,True,False,False
483666aug1,True,False,False
484189aug1,True,False,False
482683,True,False,False
482685,True,False,False
482686,True,False,False
483405,True,False,False
482683aug1,True,False,False
482685aug1,True,False,False
482686aug1,True,False,False
483405aug1,True,False,False
482888,True,False,False
482888aug1,True,False,False
480312,True,False,False
480316,True,False,False
480320,True,False,False
480323,True,False,False
480324,True,False,False
480325,True,False,False
480312aug1,True,False,False
480316aug1,True,False,False
480320aug1,True,False,False
480323aug1,True,False,False
480324aug1,True,False,False
480325aug1,True,False,False
480267,True,False,False
480274,True,False,False
480326,True,False,False
480327,True,False,False
480328,True,False,False
480267aug1,True,False,False
480274aug1,True,False,False
480326aug1,True,False,False
480327aug1,True,False,False
480328aug1,True,False,False
480232,True,False,False
480237,True,False,False
480258,True,False,False
480263,True,False,False
481140,True,False,False
481469,True,False,False
481470,True,False,False
480232aug1,True,False,False
480237aug1,True,False,False
480258aug1,True,False,False
480263aug1,True,False,False
481140aug1,True,False,False
481469aug1,True,False,False
481470aug1,True,False,False
480164,True,False,False
480169,True,False,False
480173,True,False,False
480177,True,False,False
480180,True,False,False
480164aug1,True,False,False
480169aug1,True,False,False
480173aug1,True,False,False
480177aug1,True,False,False
480180aug1,True,False,False
480189,True,False,False
480194,True,False,False
480198,True,False,False
480208,True,False,False
480212,True,False,False
480217,True,False,False
481129,True,False,False
481132,True,False,False
480189aug1,True,False,False
480194aug1,True,False,False
480198aug1,True,False,False
480208aug1,True,False,False
480212aug1,True,False,False
480217aug1,True,False,False
481129aug1,True,False,False
481132aug1,True,False,False
483779,True,False,False
483780,True,False,False
483781,True,False,False
483923,True,False,False
483779aug1,True,False,False
483780aug1,True,False,False
483781aug1,True,False,False
483923aug1,True,False,False
483769,True,False,False
483771,True,False,False
483772,True,False,False
483773,True,False,False
483774,True,False,False
483775,True,False,False
483776,True,False,False
483920,True,False,False
483769aug1,True,False,False
483771aug1,True,False,False
483772aug1,True,False,False
483773aug1,True,False,False
483774aug1,True,False,False
483775aug1,True,False,False
483776aug1,True,False,False
483920aug1,True,False,False
483757,True,False,False
483757aug1,True,False,False
483758,True,False,False
483760,True,False,False
483761,True,False,False
483762,True,False,False
483763,True,False,False
483764,True,False,False
483765,True,False,False
483766,True,False,False
483767,True,False,False
483768,True,False,False
483758aug1,True,False,False
483760aug1,True,False,False
483761aug1,True,False,False
483762aug1,True,False,False
483763aug1,True,False,False
483764aug1,True,False,False
483765aug1,True,False,False
483766aug1,True,False,False
483767aug1,True,False,False
483768aug1,True,False,False
482951,True,False,False
482952,True,False,False
482953,True,False,False
482954,True,False,False
482955,True,False,False
482957,True,False,False
482958,True,False,False
483111,True,False,False
482951aug1,True,False,False
482952aug1,True,False,False
482953aug1,True,False,False
482954aug1,True,False,False
482955aug1,True,False,False
482957aug1,True,False,False
482958aug1,True,False,False
483111aug1,True,False,False
482659,True,False,False
482660,True,False,False
482659aug1,True,False,False
482660aug1,True,False,False
482651,True,False,False
482652,True,False,False
482653,True,False,False
482654,True,False,False
482655,True,False,False
482656,True,False,False
482657,True,False,False
482658,True,False,False
483807,True,False,False
482651aug1,True,False,False
482652aug1,True,False,False
482653aug1,True,False,False
482654aug1,True,False,False
482655aug1,True,False,False
482656aug1,True,False,False
482657aug1,True,False,False
482658aug1,True,False,False
483807aug1,True,False,False
482879,True,False,False
482880,True,False,False
482881,True,False,False
482879aug1,True,False,False
482880aug1,True,False,False
482881aug1,True,False,False
482948,True,False,False
482949,True,False,False
482950,True,False,False
482948aug1,True,False,False
482949aug1,True,False,False
482950aug1,True,False,False
480329,True,False,False
480330,True,False,False
480331,True,False,False
482943,True,False,False
482944,True,False,False
482945,True,False,False
482946,True,False,False
480329aug1,True,False,False
480330aug1,True,False,False
480331aug1,True,False,False
482943aug1,True,False,False
482944aug1,True,False,False
482945aug1,True,False,False
482946aug1,True,False,False
482620,True,False,False
482621,True,False,False
482622,True,False,False
482623,True,False,False
482620aug1,True,False,False
482621aug1,True,False,False
482622aug1,True,False,False
482623aug1,True,False,False
480466,True,False,False
480467,True,False,False
480468,True,False,False
480469,True,False,False
480470,True,False,False
480471,True,False,False
480472,True,False,False
480466aug1,True,False,False
480467aug1,True,False,False
480468aug1,True,False,False
480469aug1,True,False,False
480470aug1,True,False,False
480471aug1,True,False,False
480472aug1,True,False,False
480459,True,False,False
480460,True,False,False
480459aug1,True,False,False
480460aug1,True,False,False
480457,True,False,False
480458,True,False,False
480457aug1,True,False,False
480458aug1,True,False,False
482910,True,False,False
482910aug1,True,False,False
482917,True,False,False
482917aug1,True,False,False
482772,True,False,False
482773,True,False,False
482774,True,False,False
482772aug1,True,False,False
482773aug1,True,False,False
482774aug1,True,False,False
482854,True,False,False
482855,True,False,False
483114,True,False,False
483115,True,False,False
482854aug1,True,False,False
482855aug1,True,False,False
483114aug1,True,False,False
483115aug1,True,False,False
482842,True,False,False
482843,True,False,False
482844,True,False,False
482845,True,False,False
482842aug1,True,False,False
482843aug1,True,False,False
482844aug1,True,False,False
482845aug1,True,False,False
482846,True,False,False
482847,True,False,False
482848,True,False,False
482849,True,False,False
482846aug1,True,False,False
482847aug1,True,False,False
482848aug1,True,False,False
482849aug1,True,False,False
482833,True,False,False
482834,True,False,False
482835,True,False,False
483113,True,False,False
482833aug1,True,False,False
482834aug1,True,False,False
482835aug1,True,False,False
483113aug1,True,False,False
482811,True,False,False
482812,True,False,False
482813,True,False,False
482814,True,False,False
482811aug1,True,False,False
482812aug1,True,False,False
482813aug1,True,False,False
482814aug1,True,False,False
482815,True,False,False
482816,True,False,False
482818,True,False,False
483123,True,False,False
482815aug1,True,False,False
482816aug1,True,False,False
482818aug1,True,False,False
483123aug1,True,False,False
482819,True,False,False
482820,True,False,False
482821,True,False,False
482819aug1,True,False,False
482820aug1,True,False,False
482821aug1,True,False,False
482804,True,False,False
482805,True,False,False
482806,True,False,False
482804aug1,True,False,False
482805aug1,True,False,False
482806aug1,True,False,False
482807,True,False,False
482808,True,False,False
482809,True,False,False
482810,True,False,False
482807aug1,True,False,False
482808aug1,True,False,False
482809aug1,True,False,False
482810aug1,True,False,False
482822,True,False,False
482823,True,False,False
482824,True,False,False
482825,True,False,False
482826,True,False,False
482827,True,False,False
482822aug1,True,False,False
482823aug1,True,False,False
482824aug1,True,False,False
482825aug1,True,False,False
482826aug1,True,False,False
482827aug1,True,False,False
482799,True,False,False
482800,True,False,False
482801,True,False,False
482802,True,False,False
482803,True,False,False
482799aug1,True,False,False
482800aug1,True,False,False
482801aug1,True,False,False
482802aug1,True,False,False
482803aug1,True,False,False
482850,True,False,False
482851,True,False,False
482852,True,False,False
482850aug1,True,False,False
482851aug1,True,False,False
482852aug1,True,False,False
482597,True,False,False
482598,True,False,False
482599,True,False,False
482600,True,False,False
482597aug1,True,False,False
482598aug1,True,False,False
482599aug1,True,False,False
482600aug1,True,False,False
482745,True,False,False
482746,True,False,False
482747,True,False,False
482748,True,False,False
483382,True,False,False
482745aug1,True,False,False
482746aug1,True,False,False
482747aug1,True,False,False
482748aug1,True,False,False
483382aug1,True,False,False
482731,True,False,False
482732,True,False,False
482733,True,False,False
482734,True,False,False
482735,True,False,False
482736,True,False,False
482731aug1,True,False,False
482732aug1,True,False,False
482733aug1,True,False,False
482734aug1,True,False,False
482735aug1,True,False,False
482736aug1,True,False,False
482704,True,False,False
482705,True,False,False
482706,True,False,False
482707,True,False,False
482708,True,False,False
