,train,val,test
0,483680,483696,483688
1,483681,483697,483689
2,483680aug1,483698,483690
3,483681aug1,483699,483691
4,483723,483700,483692
5,483724,,483693
6,483723aug1,,483694
7,483724aug1,,483695
8,483720,,
9,483721,,
10,483722,483708,
11,483725,,
12,483720aug1,483710,
13,483721aug1,483711,
14,483722aug1,483713,
15,483725aug1,483714,
16,483361,483715,483682
17,483364,483716,483683
18,483361aug1,483717,483684
19,483364aug1,483718,
20,482901,483719,
21,482902,484199,
22,482903,,483685
23,482901aug1,,483686
24,482902aug1,,483687
25,482903aug1,,
26,480221,,
27,480226,,
28,482959,,483726
29,482960,,483727
30,482961,,483728
31,482962,,483729
32,482963,483667,483731
33,482964,483668,484203
34,483112,483669,
35,480221aug1,483670,
36,480226aug1,483672,
37,482959aug1,483673,
38,482960aug1,483674,
39,482961aug1,483675,
40,482962aug1,483676,483660
41,482963aug1,483677,483661
42,482964aug1,483678,483662
43,483112aug1,483679,483663
44,480151,484195,483666
45,480156,484197,484189
46,480159,,
47,480151aug1,,
48,480156aug1,,
49,480159aug1,,
50,483784,,
51,483785,,
52,483786,,482683
53,483787,,482685
54,483788,,482686
55,483927,,483405
56,483784aug1,,
57,483785aug1,,
58,483786aug1,,
59,483787aug1,,
60,483788aug1,483777,482888
61,483927aug1,483778,
62,482672,,480312
63,482673,,480316
64,483399,482680,480320
65,482672aug1,482681,480323
66,482673aug1,482682,480324
67,483399aug1,,480325
68,482868,,
69,482869,,
70,482870,480279,
71,482871,480284,
72,482872,480288,
73,482873,480294,
74,483359,480298,480267
75,482868aug1,480303,480274
76,482869aug1,480307,480326
77,482870aug1,482966,480327
78,482871aug1,482967,480328
79,482872aug1,,
80,482873aug1,,
81,483359aug1,,
82,482863,,
83,482864,,
84,482865,,480232
85,483358,,480237
86,482863aug1,,480258
87,482864aug1,,480263
88,482865aug1,480120,481140
89,483358aug1,480124,481469
90,482642,480130,481470
91,482643,480135,
92,482644,481118,
93,482645,481121,
94,482646,481128,
95,482647,481465,
96,482648,,
97,482649,,
98,482642aug1,,480164
99,482643aug1,,480169
100,482644aug1,,480173
101,482645aug1,,480177
102,482646aug1,,480180
103,482647aug1,,
104,482648aug1,482674,
105,482649aug1,482675,
106,480332,482676,
107,480333,482677,
108,480334,482678,480189
109,480335,483406,480194
110,480336,,480198
111,480337,,480208
112,480338,,480212
113,480332aug1,,480217
114,480333aug1,,481129
115,480334aug1,,481132
116,480335aug1,483748,
117,480336aug1,483749,
118,480337aug1,483750,
119,480338aug1,483751,
120,480356,483752,
121,480357,483753,
122,480358,483754,
123,480359,483755,
124,480360,483756,483779
125,480361,,483780
126,480363,,483781
127,480364,,483923
128,480365,,
129,480367,,
130,481143,,
131,481472,,
132,480356aug1,,483769
133,480357aug1,,483771
134,480358aug1,482947,483772
135,480359aug1,,483773
136,480360aug1,482663,483774
137,480361aug1,482664,483775
138,480363aug1,482665,483776
139,480364aug1,482666,483920
140,480365aug1,483800,
141,480367aug1,,
142,481143aug1,,
143,481472aug1,,
144,480368,,
145,480369,,
146,480370,482874,
147,480374,482875,
148,480379,482876,483757
149,480386,482877,
150,480398,482878,483758
151,481479,,483760
152,480368aug1,,483761
153,480369aug1,,483762
154,480370aug1,,483763
155,480374aug1,,483764
156,480379aug1,482971,483765
157,480386aug1,482972,483766
158,480398aug1,482973,483767
159,481479aug1,482974,483768
160,480400,482975,
161,480401,482976,
162,480402,,
163,480403,,
164,480404,,
165,480405,,
166,480406,,
167,480407,,
168,480408,480339,
169,480400aug1,480340,
170,480401aug1,480341,482951
171,480402aug1,480342,482952
172,480403aug1,480343,482953
173,480404aug1,480344,482954
174,480405aug1,480345,482955
175,480406aug1,480346,482957
