,train,val,test
0,482804,482609,482609
1,482805,482604,482604
2,482806,482605,482605
3,482815,482607,482607
4,482816,483820,483820
5,482818,484222,484222
6,483123,484223,484223
7,482683,484224,484224
8,482685,484225,484225
9,482686,484254,484254
10,483405,484611,484611
11,482822,482672,482672
12,482823,482673,482673
13,482824,483399,483399
14,482825,482767,482767
15,482826,482768,482768
16,482827,482769,482769
17,482772,482770,482770
18,482773,482771,482771
19,482774,482854,482854
20,482811,482855,482855
21,482812,483114,483114
22,482813,483115,483115
23,482814,482837,482837
24,482819,482838,482838
25,482820,482840,482840
26,482821,482841,482841
27,484233,483122,483122
28,491675,487815,487815
29,482638,487818,487818
30,482639,487820,487820
31,482641,487822,487822
32,483810,487909,487909
33,482857,487908,487908
34,482858,487907,487907
35,482859,483720,483720
36,482860,483721,483721
37,482842,483722,483722
38,482843,487848,487848
39,482844,487849,487849
40,482845,488082,488082
41,482680,487882,487882
42,482681,487880,487880
43,482682,487879,487879
44,482828,487878,487878
45,482829,487877,487877
46,482830,487876,487876
47,482831,483948,483948
48,482832,483949,483949
49,482833,483950,483950
50,482834,483951,483951
51,482835,483952,483952
52,483113,483953,483953
53,483361,482791,482791
54,483364,482792,482792
55,491250,482793,482793
56,491251,482794,482794
57,491252,483922,483922
58,491253,483924,483924
59,491254,483925,483925
60,482620,482775,482775
61,482621,482776,482776
62,482622,482777,482777
63,482623,482778,482778
64,482624,482779,482779
65,482625,482780,482780
66,482626,482781,482781
67,482627,487395,487395
68,482628,487396,487396
69,483813,487398,487398
70,482642,488298,488298
71,482643,487112,487112
72,482644,487119,487119
73,482645,487125,487125
74,482646,487130,487130
75,482647,487137,487137
76,482648,491457,491457
77,482649,491458,491458
78,482659,491459,491459
79,482660,491754,491754
80,483488,486997,486997
81,483489,486998,486998
82,483490,487000,487000
83,483491,487001,487001
84,483492,487002,487002
85,483672,487003,487003
86,483673,487005,487005
87,483674,487487,487487
88,483675,486925,486925
89,483676,486927,486927
90,483677,486929,486929
91,483678,486931,486931
92,483679,486932,486932
93,483660,491807,491807
94,483661,491902,491902
95,483662,491903,491903
96,483663,491904,491904
97,483666,491905,491905
98,484189,491906,491906
99,482756,492256,492256
100,482757,487267,487267
101,482758,487268,487268
102,482759,487269,487269
103,482760,487766,487766
104,482761,487767,487767
105,482762,486969,486969
106,482763,486970,486970
107,482764,486971,486971
108,484902,486972,486972
109,484907,486973,486973
110,483963,486974,486974
111,483966,491849,491849
112,484153,491859,491859
113,484154,491863,491863
114,484155,491867,491867
115,484156,491871,491871
116,484157,491877,491877
117,484158,483509,483509
118,484159,483510,483510
119,484160,483511,483511
120,483710,484188,484188
121,483711,484591,484591
122,483713,484219,484219
123,483714,484227,484227
124,483715,484228,484228
125,483716,484229,484229
126,483717,484230,484230
127,483718,484231,484231
128,483719,484328,484328
129,484199,496274,496274
130,482745,496275,496275
131,482746,496276,496276
132,487919,496280,496280
133,487920,496283,496283
134,487921,530721,530721
135,487922,530722,530722
136,487923,530723,530723
137,483723,530724,530724
138,483724,530725,530725
139,483725,535079,535079
140,482723,535080,535080
141,482724,535084,535084
142,482725,535087,535087
143,482726,535090,535090
144,482727,535093,535093
145,482728,535096,535096
146,482729,535099,535099
147,482730,535101,535101
148,482737,535103,535103
149,482738,535106,535106
150,484072,535108,535108
151,484077,535153,535153
152,484083,535157,535157
153,484087,535157,535157
154,484092,535160,535160
155,484097,535162,535162
156,482704,535164,535164
157,482705,535166,535166
158,482695,535168,535168
159,482696,535170,535170
160,482697,535172,535172
161,487856,535173,535173
162,487857,535175,535175
163,487858,535177,535177
164,487859,535179,535179
165,483680,535181,535181
166,483681,535183,535183
167,484240,535186,535186
168,484241,535188,535188
169,484242,535189,535189
170,484243,535192,535192
171,484244,535194,535194
