,train,val,test
0,1508560G-N,1713372B,522963
1,1739259-G-Y,1713372E,500203D
2,1739259-E-Y,1713372F,500203-F-Y
3,1941494-F-Y,P001713372B,500203-D-Y
4,1941494-C-Y,225841-N-N,P001832850D
5,1941494-D-Y,225841-L-N,1832850C
6,1941494-G-Y,1946957B-Y,1832850D
7,1941494-H-Y,1839956B-Y,1911849B-Y
8,1512129I-N,1902079B-N,223338G
9,1813872A,227953A,223338-F-N
10,1813872B,227953B,902765
11,1813872C,227953C,902765C
12,1813872D,227953D,P000902765B
13,1813872E,227953H,220725D
14,3maintenance10-P001813872B,227953I,P001220725D
15,1625960A,P001227953B,220725B
16,1625960B,1628757C,220725C
17,1625960C,1628757D,220725G
18,1625960D,1628757F,220725I
19,1625960F,2-P001628757C,220725J
20,1625960G,3-maintenance3-P001628757B,220725K
21,1625960H,1628757G,220725L
22,1625960I,1924942C-Y,220725M
23,1625960J,2010277B-Y,220725N
24,1625960L,1613742F,220725O
25,P001625960G,1525978,224800A
26,2004610B-Y,1525978A,224800C
27,411477-A-N,1525978B,224800D
28,411477-A-N-1,1525978C,224800E
29,407984J,1525978D,224800F
30,407984-T-N,1525978E,224800H
31,P001823176F,1525978G,224800I
32,1814971B,1525978O,224800J
33,1814971C,1525978R,224800K
34,1814971G,1525978S,224800L
35,1814971H,1525978T,224800M
36,1814971I,1525978U,224800N
37,3-maintenance5-P001814971B,1525978V,224800O
38,2-P001814971B,1525978X,224800P
39,1736414F,1525978Z4,224800Q
40,1805427D,1525978Z6,224800R
41,1805427E,1525978Z7,224800S
42,1805427F,1525978Z8,224800T
43,1805427G,1525978Z99,224800U
44,1805427H,21609002G,224800V
45,3maintenance2-P001805427B,1609002I,224800W
46,1805428F-Y,1609002A,224800X
47,1902979C-N,1609002B,224800Y
48,1949160-C-N,1609002D,3-maintenance6-P001224800K
49,1949160-A-N,1609002E,2-P001224800L
50,1832548A,1609002F,421183F
51,1813206C,1609002H,420978-F-Y
52,1813206F,1609002J,420978-A-Y
53,1813206G,1609002K,420978-D-Y
54,1813206H,1609002L,420978G-Y
55,1813206I,1609002M,1632152C
56,3-maintenance1-P001813206B,1609002N,2-1613704B
57,1427159G-Y,1609002O,3mainttenance7-P001731444E
58,P001716341A,1609002P,1735362J-Y
59,1908223B-Y,1609002P1,1810938E-N
60,2000957A-Y,1609002Y,1810938D-N
61,312402Q,1631378A-Y,1810938E-1-N
62,312402,1805432D,1950280-D-Y
63,312402A,P001805432A,1950280-E-Y
64,312402B,1801211-B-Y,
65,312402C,1801211-C-Y,
66,312402D,1809923A,
67,312402E,1809923B,
68,312402F,3maintenance8-P001809923A,
69,312402G,2-P001809923A,
70,312402H,1922271A-Y,
71,312402N,1920531A-Y,
72,312402O,1920532A-Y,
73,312402P,P001210190K,
74,312402V,210190,
75,312402R,210190A,
76,312402S,210190C,
77,312402T,210190D,
78,1822186A,210190F,
79,1802840A-Y,210190G,
80,2013094B-Y,210190H,
81,109418-X-N,210190I,
82,109418-E-N,210190M,
83,109418-G-N,210190N,
84,120099,210190O,
85,200099-H-Y,210190P,
86,200099-O-Y,210190Q,
87,201611-F-N,210190S,
88,201611G-N,210190U,
89,1623931C-Y,210190V,
90,1707649A,210190Y,
91,1707649C,,
92,1707649D,,
93,1707649E,,
94,1707649F,,
95,1707649G,,
96,P001707649A,,
97,1229332C-N,,
98,1325470C-N,,
99,1431983H-1-N,,
100,1431983H-2-N,,
101,1610403-B-Y,,
102,1610403A-Y,,
103,1610648I-Y,,
104,1612595C,,
105,1702510F,,
106,2014353A-Y,,
107,1717035D,,
108,1739558A,,
109,1739558C,,
110,1739558D,,
111,1739558E,,
112,1739558F,,
113,1739558G,,
114,1739558H,,
115,3-maintenance9-P001739558B,,
116,1828187C,,
117,3mainttenance4-P001828187A,,
118,1828187A,,
119,1828187B,,
120,1828186-B-Y,,
121,1907335B-Y,,
122,1922917A-N,,
123,1922917B-N,,
124,1929771-A-Y,,
125,1935769C-Y,,
126,2008628A-Y,,
127,2010717A-Y,,
128,2010109A-Y,,
