,train,val,test
522963,True,False,False
500203D,True,False,False
500203-F-Y,True,False,False
500203-D-Y,True,False,False
P001832850D,True,False,False
1832850C,True,False,False
1832850D,True,False,False
1813872A,True,False,False
1813872B,True,False,False
1813872C,True,False,False
1813872D,True,False,False
1813872E,True,False,False
3maintenance10-P001813872B,True,False,False
1713372B,True,False,False
1713372E,True,False,False
1713372F,True,False,False
P001713372B,True,False,False
225841-N-N,True,False,False
225841-L-N,True,False,False
407984J,True,False,False
407984-T-N,True,False,False
1805427D,True,False,False
1805427E,True,False,False
1805427F,True,False,False
1805427G,True,False,False
1805427H,True,False,False
3maintenance2-P001805427B,True,False,False
1805428F-Y,True,False,False
1911849B-Y,True,False,False
1946957B-Y,True,False,False
223338G,True,False,False
223338-F-N,True,False,False
1902979C-N,True,False,False
1839956B-Y,True,False,False
1908223B-Y,True,False,False
2000957A-Y,True,False,False
902765,True,False,False
902765C,True,False,False
P000902765B,True,False,False
1822186A,True,False,False
2013094B-Y,True,False,False
1902079B-N,True,False,False
120099,True,False,False
200099-H-Y,True,False,False
200099-O-Y,True,False,False
201611-F-N,True,False,False
201611G-N,True,False,False
220725D,True,False,False
P001220725D,True,False,False
220725B,True,False,False
220725C,True,False,False
220725G,True,False,False
220725I,True,False,False
220725J,True,False,False
220725K,True,False,False
220725L,True,False,False
220725M,True,False,False
220725N,True,False,False
220725O,True,False,False
224800A,True,False,False
224800C,True,False,False
224800D,True,False,False
224800E,True,False,False
224800F,True,False,False
224800H,True,False,False
224800I,True,False,False
224800J,True,False,False
224800K,True,False,False
224800L,True,False,False
224800M,True,False,False
224800N,True,False,False
224800O,True,False,False
224800P,True,False,False
224800Q,True,False,False
224800R,True,False,False
224800S,True,False,False
224800T,True,False,False
224800U,True,False,False
224800V,True,False,False
224800W,True,False,False
224800X,True,False,False
224800Y,True,False,False
3-maintenance6-P001224800K,True,False,False
2-P001224800L,True,False,False
227953A,True,False,False
227953B,True,False,False
227953C,True,False,False
227953D,True,False,False
227953H,True,False,False
227953I,True,False,False
P001227953B,True,False,False
1707649A,True,False,False
1707649C,True,False,False
1707649D,True,False,False
1707649E,True,False,False
1707649F,True,False,False
1707649G,True,False,False
P001707649A,True,False,False
1229332C-N,True,False,False
1628757C,True,False,False
1628757D,True,False,False
1628757F,True,False,False
2-P001628757C,True,False,False
3-maintenance3-P001628757B,True,False,False
1628757G,True,False,False
1924942C-Y,True,False,False
2010277B-Y,True,False,False
1613742F,True,False,False
421183F,True,False,False
420978-F-Y,True,False,False
420978-A-Y,True,False,False
420978-D-Y,True,False,False
420978G-Y,True,False,False
1610403-B-Y,True,False,False
1610403A-Y,True,False,False
1632152C,True,False,False
1525978,True,False,False
1525978A,True,False,False
1525978B,True,False,False
1525978C,True,False,False
1525978D,True,False,False
1525978E,True,False,False
1525978G,True,False,False
1525978O,True,False,False
1525978R,True,False,False
1525978S,True,False,False
1525978T,True,False,False
1525978U,True,False,False
1525978V,True,False,False
1525978X,True,False,False
1525978Z4,True,False,False
1525978Z6,True,False,False
1525978Z7,True,False,False
1525978Z8,True,False,False
1525978Z99,True,False,False
2-1613704B,True,False,False
21609002G,True,False,False
1609002I,True,False,False
1609002A,True,False,False
1609002B,True,False,False
1609002D,True,False,False
1609002E,True,False,False
1609002F,True,False,False
1609002H,True,False,False
1609002J,True,False,False
1609002K,True,False,False
1609002L,True,False,False
1609002M,True,False,False
1609002N,True,False,False
1609002O,True,False,False
1609002P,True,False,False
1609002P1,True,False,False
1609002Y,True,False,False
1610648I-Y,True,False,False
1631378A-Y,True,False,False
1805432D,True,False,False
P001805432A,True,False,False
3mainttenance7-P001731444E,True,False,False
1735362J-Y,True,False,False
1801211-B-Y,True,False,False
1801211-C-Y,True,False,False
1809923A,True,False,False
1809923B,True,False,False
3maintenance8-P001809923A,True,False,False
2-P001809923A,True,False,False
1810938E-N,True,False,False
1810938D-N,True,False,False
1810938E-1-N,True,False,False
1922271A-Y,True,False,False
1920531A-Y,True,False,False
1920532A-Y,True,False,False
1935769C-Y,True,False,False
1950280-D-Y,True,False,False
1950280-E-Y,True,False,False
2010717A-Y,True,False,False
P001210190K,True,False,False
210190,True,False,False
210190A,True,False,False
210190C,True,False,False
210190D,True,False,False
210190F,True,False,False
210190G,True,False,False
210190H,True,False,False
210190I,True,False,False
210190M,True,False,False
210190N,True,False,False
210190O,True,False,False
210190P,True,False,False
210190Q,True,False,False
210190S,True,False,False
210190U,True,False,False
210190V,True,False,False
210190Y,True,False,False
2010109A-Y,True,False,False
1739259-G-Y,False,True,False
1739259-E-Y,False,True,False
1941494-F-Y,False,True,False
1941494-C-Y,False,True,False
1941494-D-Y,False,True,False
1941494-G-Y,False,True,False
1941494-H-Y,False,True,False
1625960A,False,True,False
1625960B,False,True,False
1625960C,False,True,False
1625960D,False,True,False
1625960F,False,True,False
1625960G,False,True,False
1625960H,False,True,False
1625960I,False,True,False
1625960J,False,True,False
1625960L,False,True,False
P001625960G,False,True,False
411477-A-N,False,True,False
411477-A-N-1,False,True,False
P001823176F,False,True,False
1736414F,False,True,False
1949160-C-N,False,True,False
1949160-A-N,False,True,False
1832548A,False,True,False
1813206C,False,True,False
1813206F,False,True,False
1813206G,False,True,False
1813206H,False,True,False
1813206I,False,True,False
3-maintenance1-P001813206B,False,True,False
1427159G-Y,False,True,False
P001716341A,False,True,False
109418-X-N,False,True,False
109418-E-N,False,True,False
109418-G-N,False,True,False
2014353A-Y,False,True,False
1828187C,False,True,False
3mainttenance4-P001828187A,False,True,False
1828187A,False,True,False
1828187B,False,True,False
1828186-B-Y,False,True,False
1922917A-N,False,True,False
1922917B-N,False,True,False
1929771-A-Y,False,True,False
1508560G-N,False,False,True
1512129I-N,False,False,True
2004610B-Y,False,False,True
1814971B,False,False,True
1814971C,False,False,True
1814971G,False,False,True
1814971H,False,False,True
1814971I,False,False,True
3-maintenance5-P001814971B,False,False,True
2-P001814971B,False,False,True
312402Q,False,False,True
312402,False,False,True
312402A,False,False,True
312402B,False,False,True
312402C,False,False,True
312402D,False,False,True
312402E,False,False,True
312402F,False,False,True
312402G,False,False,True
312402H,False,False,True
312402N,False,False,True
312402O,False,False,True
312402P,False,False,True
312402V,False,False,True
312402R,False,False,True
312402S,False,False,True
312402T,False,False,True
1802840A-Y,False,False,True
1623931C-Y,False,False,True
1325470C-N,False,False,True
1431983H-1-N,False,False,True
1431983H-2-N,False,False,True
1612595C,False,False,True
1702510F,False,False,True
1717035D,False,False,True
1739558A,False,False,True
1739558C,False,False,True
1739558D,False,False,True
1739558E,False,False,True
1739558F,False,False,True
1739558G,False,False,True
1739558H,False,False,True
3-maintenance9-P001739558B,False,False,True
1907335B-Y,False,False,True
2008628A-Y,False,False,True
